,name,year,rating,vote,length,vote2
0,The Shawshank Redemption,1994,9.3,2.8M,2h 22m,2800000
1,The Godfather,1972,9.2,2M,2h 55m,2000000
2,The Dark Knight,2008,9.0,2.8M,2h 32m,2800000
3,The Godfather Part II,1974,9.0,1.3M,3h 22m,1300000
4,12 Angry Men,1957,9.0,835K,1h 36m,835000
5,Schindler's List,1993,9.0,1.4M,3h 15m,1400000
6,The Lord of the Rings: The Return of the King,2003,9.0,1.9M,3h 21m,1900000
7,Pulp Fiction,1994,8.9,2.2M,2h 34m,2200000
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1.9M,2h 58m,1900000
9,Lonely Hero in the Duel of Hell's Gate,1966,8.8,791K,2h 41m,791000
10,Forrest Gump,1994,8.8,2.2M,2h 22m,2200000
11,Fight Club,1999,8.8,2.2M,2h 19m,2200000
12,The Lord of the Rings: The Two Towers,2002,8.8,1.7M,2h 59m,1700000
13,Inception,2010,8.8,2.5M,2h 28m,2500000
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.3M,2h 4m,1300000
15,The Matrix,1999,8.7,2M,2h 16m,2000000
16,GoodFellas,1990,8.7,1.2M,2h 25m,1200000
17,One Flew Over the Cuckoo's Nest,1975,8.7,1M,2h 13m,1000000
18,Se7en,1995,8.6,1.7M,2h 7m,1700000
19,Spider-Man: Across the Spider-Verse,2023,8.7,274K,2h 20m,274000
20,It's a Wonderful Life,1946,8.6,480K,2h 10m,480000
21,Shichinin no samurai,1954,8.6,359K,3h 27m,359000
22,Interstellar,2014,8.7,2M,2h 49m,2000000
23,The Silence of the Lambs,1991,8.6,1.5M,1h 58m,1500000
24,Saving Private Ryan,1998,8.6,1.5M,2h 49m,1500000
25,Cidade de Deus,2002,8.6,783K,2h 10m,783000
26,La vita è bella,1997,8.6,724K,1h 56m,724000
27,The Green Mile,1999,8.6,1.4M,3h 9m,1400000
28,Star Wars,1977,8.6,1.4M,2h 1m,1400000
29,Terminator 2: Judgment Day,1991,8.6,1.1M,2h 17m,1100000
30,Back to the Future,1985,8.5,1.3M,1h 56m,1300000
31,Sen to Chihiro no kamikakushi,2001,8.6,813K,2h 5m,813000
32,The Pianist,2002,8.5,881K,2h 30m,881000
33,Psycho,1960,8.5,701K,1h 49m,701000
34,Gisaengchung,2019,8.5,893K,2h 12m,893000
35,Gladiator,2000,8.5,1.6M,2h 35m,1600000
36,The Lion King,1994,8.5,1.1M,1h 28m,1100000
37,Léon,1994,8.5,1.2M,1h 50m,1200000
38,American History X,1998,8.5,1.2M,1h 59m,1200000
39,The Departed,2006,8.5,1.4M,2h 31m,1400000
40,Whiplash,2014,8.5,936K,1h 46m,936000
41,The Prestige,2006,8.5,1.4M,2h 10m,1400000
42,The Usual Suspects,1995,8.5,1.1M,1h 46m,1100000
43,Hotaru no haka,1988,8.5,297K,1h 29m,297000
44,Seppuku,1962,8.6,64K,2h 13m,64000
45,Oppenheimer,2023,8.5,457K,3h ,457000
46,Casablanca,1942,8.5,593K,1h 42m,593000
