,name,university,url
0,Prof. Haipeng SHEN,"The Wharton School of Business, University of Pennsylvania",https://msc.hkubs.hku.hk//uploads/image/202208/912e4fbe417ba7386483c5a63114a859.jpg
1,Dr. Hailiang CHEN,Purdue University,https://msc.hkubs.hku.hk//uploads/image/202205/7bf2456efbfe30faf679e8687b593095.JPG
2,Prof. Xin WANG,Duke University,https://msc.hkubs.hku.hk//uploads/image/202205/f8c2ae64fb58e77abf85ee5554551f57.JPG
3,Prof. Zhenhui Jack JIANG,University of British Columbia,https://msc.hkubs.hku.hk//uploads/image/202205/60ec248db1e94f347d9a768a8fafe269.JPG
4,Dr. Wei ZHANG,Purdue University,https://msc.hkubs.hku.hk//uploads/image/202205/4ffba69f304d9e0b6b87f091e0504495.JPG
5,Prof. Z. Max SHEN,Northwestern University,https://msc.hkubs.hku.hk//uploads/image/202205/3e54b3217a5b21961988b14da9ce33ca.JPG
6,Dr. Zhanrui CAI,The Pennsylvania State University,https://msc.hkubs.hku.hk//uploads/image/202308/37466d97c117c14135605fea682f305b.jpg
7,Prof. Michael C. L. CHAU,Arizona University,https://msc.hkubs.hku.hk//uploads/image/202205/ac5d364416b5bb9a1714038c2c4d5276.jpg
8,Dr. Chao DING,University of Florida,https://msc.hkubs.hku.hk//uploads/image/202205/caadde230670b19f303e4d280934e054.JPG
9,Dr. Xing HU,"Stern School of Business, New York University",https://msc.hkubs.hku.hk//uploads/image/202205/b1afbc52a0554880ed85aa5e60cff5fa.JPG
10,Dr. Shan HUANG,MIT Sloan School of Management,https://msc.hkubs.hku.hk//uploads/image/202205/020f412b778f104f4cb3e5066b0999f1.JPG
11,Dr. Xiao LEI,Columbia University,https://msc.hkubs.hku.hk//uploads/image/202308/8acee1b2322280313707617a6c1966f0.jpg
12,Dr. Lionel Zhepeng LI,University of Utah,https://msc.hkubs.hku.hk//uploads/image/202205/c83e27a202d4c9322d7044758c9cca94.JPG
13,Dr. Shengjun MAO,"University of California, Irvine",https://msc.hkubs.hku.hk//uploads/image/202205/4e210578816e92384afeb07e1e9f4794.JPG
14,Dr. Huiyin OUYANG,"University of North Carolina, Chapel Hill",https://msc.hkubs.hku.hk//uploads/image/202205/2543629b0e118abbb724ff09fe9da244.JPG
15,Dr. Sundara Natarajan PANCHANATHAM,INSEAD,https://msc.hkubs.hku.hk//uploads/image/202308/51f47d1cdced1ec9e1391407a4e950d8.jpg
16,Dr. Tuan Quang PHAN,Harvard Business School,https://msc.hkubs.hku.hk//uploads/image/202205/8a3f33dd8ad8e7216974da44ee4e6c99.JPG
17,Dr. Feng TIAN,"Ross School of Business, University of Michigan",https://msc.hkubs.hku.hk//uploads/image/202205/ee160c92942d144cdb84b678abe13d8f.JPG
18,Dr. Dawei WANG,Northwestern University,https://msc.hkubs.hku.hk//uploads/image/202308/04816001188bf0e790c1c5649413faaf.jpg
19,Prof. Zhixi WAN,"Ross School of Business, University of Michigan",https://msc.hkubs.hku.hk//uploads/image/202208/ea794c806522034724714b9f816c2b4f.jpg
20,Dr. Liao WANG,Columbia University,https://msc.hkubs.hku.hk//uploads/image/202205/677495c150a5d266d70d9c0dcb4412cb.JPG
21,Dr. Weichen WANG,Princeton University,https://msc.hkubs.hku.hk//uploads/image/202205/e6ed8893baab21218a44a8b834f8c247.JPG
22,Dr. Zhengli WANG,Stanford University,https://msc.hkubs.hku.hk//uploads/image/202205/044ba8d33cad6a8a94a3f4f851332cf7.JPG
23,Dr. Dan YANG,"The Wharton School of Business, University of Pennsylvania",https://msc.hkubs.hku.hk//uploads/image/202205/4fd3d974e3028aa4870763414ce02702.JPG
24,Dr. Benjamin YEN,Columbia University,https://msc.hkubs.hku.hk//uploads/image/202205/060681afb968f30a11343b79edaec99f.JPG
