,date,control_point,in_hk,in_mainland,in_other,in_total,out_hk,out_mainland,out_other,out_total
0,1 January 2022,Airport,609,3,16,628,720,14,44,778
1,1 January 2022,Hong Kong-Zhuhai-Macao Bridge,67,4,7,78,219,13,2,234
2,1 January 2022,Shenzhen Bay,495,126,6,627,892,109,2,1003
3,2 January 2022,Airport,958,15,7,980,1543,62,94,1699
4,2 January 2022,Hong Kong-Zhuhai-Macao Bridge,119,10,14,143,225,14,7,246
5,2 January 2022,Shenzhen Bay,785,133,15,933,960,137,2,1099
6,3 January 2022,Airport,756,12,5,773,1024,26,38,1088
7,3 January 2022,Hong Kong-Zhuhai-Macao Bridge,80,13,13,106,257,17,2,276
8,3 January 2022,Shenzhen Bay,724,95,12,831,1224,146,4,1374
9,4 January 2022,Airport,554,15,25,594,1287,27,44,1358
10,4 January 2022,Hong Kong-Zhuhai-Macao Bridge,70,8,11,89,238,24,7,269
11,4 January 2022,Shenzhen Bay,644,116,5,765,1096,136,7,1239
12,5 January 2022,Airport,729,15,16,760,1028,36,58,1122
13,5 January 2022,Hong Kong-Zhuhai-Macao Bridge,90,9,11,110,228,12,5,245
14,5 January 2022,Shenzhen Bay,756,108,16,880,1078,151,6,1235
15,6 January 2022,Airport,682,10,15,707,989,17,53,1059
16,6 January 2022,Hong Kong-Zhuhai-Macao Bridge,77,5,11,93,227,16,4,247
17,6 January 2022,Shenzhen Bay,771,137,14,922,1080,157,1,1238
18,7 January 2022,Airport,344,11,33,388,1963,62,78,2103
19,7 January 2022,Hong Kong-Zhuhai-Macao Bridge,95,2,15,112,273,12,9,294
20,7 January 2022,Shenzhen Bay,879,155,19,1053,1134,152,6,1292
21,8 January 2022,Airport,782,10,12,804,1308,63,53,1424
22,8 January 2022,Hong Kong-Zhuhai-Macao Bridge,124,13,4,141,297,9,20,326
23,8 January 2022,Shenzhen Bay,844,157,17,1018,1139,152,1,1292
24,9 January 2022,Airport,683,20,3,706,1798,48,97,1943
25,9 January 2022,Hong Kong-Zhuhai-Macao Bridge,136,12,9,157,272,11,10,293
26,9 January 2022,Shenzhen Bay,934,201,12,1147,1000,97,3,1100
27,10 January 2022,Airport,174,14,7,195,1059,55,40,1154
28,10 January 2022,Hong Kong-Zhuhai-Macao Bridge,115,11,14,140,257,13,8,278
29,10 January 2022,Shenzhen Bay,760,107,5,872,936,104,1,1041
30,11 January 2022,Airport,150,12,3,165,1056,47,39,1142
31,11 January 2022,Hong Kong-Zhuhai-Macao Bridge,102,14,20,136,214,12,12,238
32,11 January 2022,Shenzhen Bay,797,128,9,934,958,120,4,1082
33,12 January 2022,Airport,620,14,13,647,1156,38,45,1239
34,12 January 2022,Hong Kong-Zhuhai-Macao Bridge,170,26,4,200,240,18,3,261
35,12 January 2022,Shenzhen Bay,858,153,9,1020,1055,137,2,1194
36,13 January 2022,Airport,175,28,10,213,716,17,29,762
37,13 January 2022,Hong Kong-Zhuhai-Macao Bridge,175,17,5,197,241,17,3,261
38,13 January 2022,Shenzhen Bay,888,184,11,1083,1217,168,2,1387
39,14 January 2022,Airport,560,23,34,617,1512,35,51,1598
40,14 January 2022,Hong Kong-Zhuhai-Macao Bridge,225,15,11,251,227,10,4,241
41,14 January 2022,Shenzhen Bay,980,156,14,1150,1133,224,9,1366
42,15 January 2022,Airport,535,20,20,575,1125,32,57,1214
43,15 January 2022,Hong Kong-Zhuhai-Macao Bridge,214,26,17,257,196,12,8,216
44,15 January 2022,Shenzhen Bay,1197,184,19,1400,1087,200,1,1288
45,16 January 2022,Airport,894,24,14,932,1379,35,72,1486
46,16 January 2022,Hong Kong-Zhuhai-Macao Bridge,150,11,7,168,198,16,13,227
47,16 January 2022,Shenzhen Bay,1037,223,7,1267,981,162,2,1145
48,17 January 2022,Airport,268,10,9,287,873,21,51,945
49,17 January 2022,Hong Kong-Zhuhai-Macao Bridge,150,12,14,176,217,13,4,234
50,17 January 2022,Shenzhen Bay,812,110,8,930,885,158,4,1047
51,18 January 2022,Airport,139,8,17,164,955,27,37,1019
52,18 January 2022,Hong Kong-Zhuhai-Macao Bridge,71,0,3,74,64,0,5,69
53,18 January 2022,Shenzhen Bay,985,163,5,1153,834,134,0,968
54,19 January 2022,Airport,398,19,19,436,1094,15,40,1149
55,19 January 2022,Hong Kong-Zhuhai-Macao Bridge,54,0,9,63,26,0,10,36
56,19 January 2022,Shenzhen Bay,1019,156,6,1181,771,130,5,906
57,20 January 2022,Airport,248,18,25,291,503,19,24,546
58,20 January 2022,Hong Kong-Zhuhai-Macao Bridge,54,1,5,60,33,0,10,43
59,20 January 2022,Shenzhen Bay,1299,223,5,1527,698,98,2,798
60,21 January 2022,Airport,539,20,5,564,1278,24,44,1346
61,21 January 2022,Hong Kong-Zhuhai-Macao Bridge,82,0,10,92,57,0,14,71
62,21 January 2022,Shenzhen Bay,1602,188,7,1797,977,182,5,1164
63,22 January 2022,Airport,416,19,12,447,753,17,21,791
64,22 January 2022,Hong Kong-Zhuhai-Macao Bridge,46,0,5,51,52,0,6,58
65,22 January 2022,Shenzhen Bay,1619,242,12,1873,1037,172,7,1216
66,23 January 2022,Airport,618,24,25,667,1715,36,54,1805
67,23 January 2022,Hong Kong-Zhuhai-Macao Bridge,40,0,4,44,53,0,8,61
68,23 January 2022,Shenzhen Bay,1246,206,7,1459,827,151,3,981
69,24 January 2022,Airport,349,16,12,377,783,24,40,847
70,24 January 2022,Hong Kong-Zhuhai-Macao Bridge,37,0,7,44,45,0,5,50
71,24 January 2022,Shenzhen Bay,860,132,5,997,867,144,1,1012
72,25 January 2022,Airport,206,3,13,222,868,12,26,906
73,25 January 2022,Hong Kong-Zhuhai-Macao Bridge,40,0,10,50,64,0,11,75
74,25 January 2022,Shenzhen Bay,1339,148,12,1499,833,137,4,974
75,26 January 2022,Airport,678,7,21,706,1119,20,34,1173
76,26 January 2022,Hong Kong-Zhuhai-Macao Bridge,54,0,7,61,44,0,3,47
77,26 January 2022,Shenzhen Bay,1495,174,7,1676,714,132,5,851
78,27 January 2022,Airport,389,9,13,411,514,11,32,557
79,27 January 2022,Hong Kong-Zhuhai-Macao Bridge,69,0,12,81,36,0,6,42
80,27 January 2022,Shenzhen Bay,1397,191,4,1592,645,100,10,755
81,28 January 2022,Airport,508,12,13,533,1092,13,36,1141
82,28 January 2022,Hong Kong-Zhuhai-Macao Bridge,139,0,14,153,34,0,7,41
83,28 January 2022,Shenzhen Bay,1440,188,10,1638,664,120,5,789
84,29 January 2022,Airport,426,13,12,451,610,12,29,651
85,29 January 2022,Hong Kong-Zhuhai-Macao Bridge,93,0,15,108,25,0,3,28
86,29 January 2022,Shenzhen Bay,907,179,8,1094,824,103,3,930
87,30 January 2022,Airport,508,16,11,535,1442,15,50,1507
88,30 January 2022,Hong Kong-Zhuhai-Macao Bridge,41,1,10,52,33,0,3,36
89,30 January 2022,Shenzhen Bay,723,134,6,863,804,125,2,931
90,31 January 2022,Airport,87,1,12,100,564,1,24,589
91,31 January 2022,Hong Kong-Zhuhai-Macao Bridge,51,8,8,67,19,0,2,21
92,31 January 2022,Shenzhen Bay,237,49,12,298,782,96,3,881
93,1 February 2022,Airport,152,2,7,161,580,22,14,616
94,1 February 2022,Hong Kong-Zhuhai-Macao Bridge,18,7,10,35,32,0,7,39
95,1 February 2022,Shenzhen Bay,65,21,0,86,823,122,1,946
96,2 February 2022,Airport,401,3,24,428,951,19,38,1008
97,2 February 2022,Hong Kong-Zhuhai-Macao Bridge,30,2,5,37,33,0,1,34
98,2 February 2022,Shenzhen Bay,192,42,3,237,933,177,2,1112
99,3 February 2022,Airport,170,2,9,181,874,16,31,921
100,3 February 2022,Hong Kong-Zhuhai-Macao Bridge,39,5,7,51,32,0,2,34
101,3 February 2022,Shenzhen Bay,350,46,6,402,1039,185,2,1226
102,4 February 2022,Airport,126,8,6,140,1032,13,28,1073
103,4 February 2022,Hong Kong-Zhuhai-Macao Bridge,35,2,10,47,60,0,8,68
104,4 February 2022,Shenzhen Bay,404,89,4,497,1164,239,6,1409
105,5 February 2022,Airport,352,7,5,364,1316,29,24,1369
106,5 February 2022,Hong Kong-Zhuhai-Macao Bridge,75,6,7,88,53,1,3,57
107,5 February 2022,Shenzhen Bay,446,80,3,529,1142,261,6,1409
108,6 February 2022,Airport,971,14,30,1015,1944,55,61,2060
109,6 February 2022,Hong Kong-Zhuhai-Macao Bridge,90,10,13,113,49,0,3,52
110,6 February 2022,Shenzhen Bay,934,88,0,1022,1243,275,8,1526
