# new cases, moving ave @ 3
2.0,nan
0.0,nan
3.0,1.7
3.0,2.0
0.0,2.0
0.0,1.0
2.0,0.7
0.0,0.7
2.0,1.3
1.0,1.0
2.0,1.7
0.0,1.0
2.0,1.3
4.0,2.0
3.0,3.0
1.0,2.7
1.0,1.7
3.0,1.7
9.0,4.3
11.0,7.7
1.0,7.0
3.0,5.0
3.0,2.3
0.0,2.0
1.0,1.3
3.0,1.3
2.0,2.0
1.0,2.0
5.0,2.7
0.0,2.0
1.0,2.0
5.0,2.0
5.0,3.7
5.0,5.0
7.0,5.7
1.0,4.3
2.0,3.3
1.0,1.3
1.0,1.3
4.0,2.0
0.0,1.7
5.0,3.0
0.0,1.7
2.0,2.3
1.0,1.0
6.0,3.0
1.0,2.7
5.0,4.0
6.0,4.0
3.0,4.7
5.0,4.7
6.0,4.7
5.0,5.3
10.0,7.0
7.0,7.3
19.0,12.0
27.0,17.7
48.0,31.3
17.0,30.7
44.0,36.3
34.0,31.7
31.0,36.3
25.0,30.0
45.0,33.7
42.0,37.3
32.0,39.7
51.0,41.7
46.0,43.0
57.0,51.3
57.0,53.3
47.0,53.7
47.0,50.3
22.0,38.7
29.0,32.7
32.0,27.7
21.0,27.3
25.0,26.0
13.0,19.7
16.0,18.0
11.0,13.3
4.0,10.3
5.0,6.7
3.0,4.0
4.0,4.0
1.0,2.7
4.0,3.0
2.0,2.3
2.0,2.7
0.0,1.3
4.0,2.0
4.0,2.7
2.0,3.3
0.0,2.0
2.0,1.3
0.0,0.7
0.0,0.7
0.0,0.0
0.0,0.0
0.0,0.0
2.0,0.7
0.0,0.7
0.0,0.7
1.0,0.3
0.0,0.3
0.0,0.3
4.0,1.3
0.0,1.3
0.0,1.3
3.0,1.0
0.0,1.0
0.0,1.0
3.0,1.0
1.0,1.3
1.0,1.7
0.0,0.7
3.0,1.3
0.0,1.0
0.0,1.0
0.0,0.0
8.0,2.7
2.0,3.3
0.0,3.3
0.0,0.7
0.0,0.0
0.0,0.0
1.0,0.3
0.0,0.3
13.0,4.7
3.0,5.3
2.0,6.0
3.0,2.7
6.0,3.7
0.0,3.0
6.0,4.0
3.0,3.0
3.0,4.0
1.0,2.3
1.0,1.7
0.0,0.7
0.0,0.3
0.0,0.0
1.0,0.3
1.0,0.7
0.0,0.7
3.0,1.3
0.0,1.0
8.0,3.7
4.0,4.0
3.0,5.0
1.0,2.7
3.0,2.3
30.0,11.3
16.0,16.3
2.0,16.0
14.0,10.7
3.0,6.3
1.0,6.0
2.0,2.0
4.0,2.3
2.0,2.7
28.0,11.3
9.0,13.0
5.0,14.0
11.0,8.3
10.0,8.7
17.0,12.7
14.0,13.7
24.0,18.3
42.0,26.7
38.0,34.7
28.0,36.0
38.0,34.7
52.0,39.3
48.0,46.0
19.0,39.7
67.0,44.7
58.0,48.0
64.0,63.0
108.0,76.7
73.0,81.7
60.0,80.3
113.0,82.0
118.0,97.0
123.0,118.0
133.0,124.7
128.0,128.0
145.0,135.3
106.0,126.3
118.0,123.0
149.0,124.3
121.0,129.3
124.0,131.3
115.0,120.0
78.0,105.7
80.0,91.0
85.0,81.0
95.0,86.7
89.0,89.7
69.0,84.3
72.0,76.7
69.0,70.0
33.0,58.0
62.0,54.7
69.0,54.7
48.0,59.7
46.0,54.3
74.0,56.0
44.0,54.7
36.0,51.3
26.0,35.3
18.0,26.7
27.0,23.7
26.0,23.7
25.0,26.0
9.0,20.0
19.0,17.7
24.0,17.3
21.0,21.3
13.0,19.3
18.0,17.3
15.0,15.3
