state,fold,population,household.size,race.pctblack,race.pctwhite,race.pctasian,race.pcthisp,age.pct12to21,age.pct12to29,age.pct16to24,age.pct65up,num.urban,pct.urban,med.income,pct.wage.inc,pct.farmself.inc,pct.inv.inc,pct.socsec.inc,pct.pubasst.inc,pct.retire,med.family.inc,percap.inc,white.percap,black.percap,indian.percap,asian.percap,other.percap,hisp.percap,num.underpov,pct.pop.underpov,pct.less9thgrade,pct.not.hsgrad,pct.bs.ormore,pct.unemployed,pct.employed,pct.employed.manuf,pct.employed.profserv,pct.occup.manuf,pct.occup.mgmtprof,male.pct.divorce,male.pct.nvrmarried,female.pct.divorce,total.pct.divorce,ave.people.per.fam,pct.fam2parents,pct.kids2parents,pct.youngkids2parents,pct.teens2parents,pct.workmom.youngkids,pct.workmom,num.kids.nvrmarried,pct.kids.nvrmarried,num.immig,pct.immig.recent,pct.immig.recent5,pct.immig.recent8,pct.immig.recent10,pct.pop.immig,pct.pop.immig5,pct.pop.immig8,pct.pop.immig10,pct.english.only,pct.no.english.well,pct.fam.hh.large,pct.occup.hh.large,ave.people.per.hh,ave.people.per.ownoccup.hh,ave.people.per.rented.hh,pct.people.ownoccup.hh,pct.people.dense.hh,pct.hh.less3br,med.num.br,num.vacant.house,pct.house.occup,pct.house.ownoccup,pct.house.vacant,pct.house.vacant.6moplus,med.yr.house.built,pct.house.nophone,pct.house.no.plumb,value.ownoccup.house.lowquart,value.ownoccup.med,value.ownoccup.highquart,rent.lowquart,rent.med,rent.highquart,med.rent,med.rent.aspct.hhinc,med.owncost.aspct.hhinc.wmort,med.owncost.as.pct.hhinc.womort,num.in.shelters,num.homeless,pct.foreignborn,pct.born.samestate,pct.samehouse1985,pct.samecity1985,pct.samestate1985,land.area,pop.density,pct.use.publictransit,pct.police.drugunits,violentcrimes.perpop
CA,1,10.13297096,2.89,21.34,49.42,17.21,26.78,13.65,28.82,13.23,9.44,10.13297096,100,25479,73.45,0,24.98,22.99,23.63,13.18,28567,10505,11407,10412,9.016634256,9.163982248,8330,7813,8.453187861,19.02,14.03,34.18,11.64,10.16,55.94,15.39,20.63,17.38,14.03,13.91,35.23,18.96,16.57,3.47,58.06,56.36,61.46,57.16,58.63,61.68,7.299797367,7.44,8.801770449,21.87,32.75,47.67,62.3,5.78,8.65,12.59,16.46,60.3,10.8,12.43,8.45,2.84,2.9,2.79,48.07,18.18,72.06,2,6.572282543,92.42,47.14,3.78,18.35,1963,6.25,0.64,92800,117900,142700,406,503,596,564,33,24.3,11.8,3.044522438,3.912023005,26.41,47.45,38.61,69.21,89.27,1.30833282,9387.3,2.503073954,0,2605.96
CA,1,12.10092877,2.62,1.3,74.02,14.14,20.96,12.04,26.68,12.37,11.54,12.10092877,100,34372,76.17,0.62,40.04,20.3,11.27,11.51,39652,17966,19362,17693,9.949034367,9.722984342,9438,11182,10.14584532,14.37,11.54,22.83,28.55,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,11.12,3.22,77.1,74.78,86.01,79.01,52.45,59.33,8.017966703,2.62,11.30655299,30.33,41.41,50.77,60.4,13.71,18.71,22.94,27.29,46.84,15.46,6.98,4.6,2.59,2.63,2.56,39.38,18.31,75.17,2,8.163656176,95.13,38.71,2.25,17.69,1962,1.53,0.46,249800,343600,469800,511,626,763,688,30.5,25.3,11.6,4.418840608,2.890371758,45.19,29.68,37.69,73.29,76.85,3.487375078,5677.3,1.638996715,5.88,374.07
CA,1,10.18251982,3.34,18.97,53.6,20.84,10.73,16.16,37.22,19.09,4.13,10.18251982,100,29043,90.39,0.53,28.69,10.74,6.9,15.99,28870,11338,12871,10242,8.753687227,9.183482918,7196,8444,7.75319427,9.67,5.8,15.83,17.01,3.5,75.2,6.69,20.66,9.67,20.38,7.15,24.55,11.83,9.33,3.32,80.12,77.88,90.58,78.19,51.64,64.58,5.556828062,1.69,8.486733984,12.27,18.31,29.88,43.12,2.25,3.36,5.48,7.91,71.79,4.31,7.26,6.07,3.05,2.8,3.18,31.74,11.94,55.65,2,5.869296913,95.73,34.5,0.57,3.12,1976,1.62,0.24,150800,172500,196500,512,607,689,666,31.6,23.3,12.3,0,0,18.34,24.24,26.33,46.38,54.52,2.312535424,2917.9,1.075002423,0,644.75
FL,1,9.681842877,2.63,13.79,83.94,1.42,2.4,11.91,23.09,10.33,13.65,9.681842877,100,34934,80.47,0.3,47.11,27.98,2.74,23.43,39691,15534,16027,13246,9.140025198,9.310457163,9621,14449,6.807934944,5.75,4.07,14.21,21.25,5.39,64.92,18.44,24.03,9.88,32.44,10.45,23.08,13.36,11.99,2.96,77.22,72.98,82.62,75.63,67.95,75.78,5.123963979,1.41,6.610696045,10.38,12.4,19.68,23.72,0.48,0.57,0.91,1.1,93.6,0.75,3.74,2.82,2.58,2.61,2.45,78.92,2.26,29.4,3,6.08221891,93.31,77.85,1.14,29.52,1972,2.03,0.08,61700,73900,92300,371,457,508,543,24.5,20.9,11.3,0,0,4.63,28.32,45.19,75.45,81.03,2.406945108,1581.4,0.457424847,0,560.71
CA,1,11.39294752,2.7,2.92,87.36,2.82,13.97,13.77,30.92,15.15,9.65,11.39294752,100,28108,78.15,0.53,34.68,21.99,12.74,16.03,32096,13518,14237,9215,9.134214982,9.136909094,7746,8951,9.322328874,12.92,6.71,21.49,14.45,7.07,61.86,12.47,21.82,11.44,23.15,13.12,31.67,19.09,16.22,3.09,65.86,63.25,74.02,65.85,52.92,62.42,7.601402335,3.29,9.060795735,20.75,31.36,43.8,50.16,2.01,3.04,4.25,4.87,85.2,3.17,5.26,3.68,2.63,2.64,2.63,40.87,8.76,63.54,2,7.353081921,95.47,40.71,1.47,11.03,1970,2.97,0.24,128100,158000,209600,434,507,587,548,30.8,23.6,10.8,2.63905733,4.343805422,9.71,45.45,35.36,77.14,83.16,2.766319109,5943,1.153731588,0,894.51
CA,1,9.389490238,2.71,0.24,88.57,1.11,17.04,13.37,26.84,13.03,12.98,0,0,27230,73.45,1.88,33.34,28.75,13.22,18.4,30357,11994,12334,17759,9.794286337,9.05157908,8032,8180,7.304515946,12.63,12.32,30.95,9.97,10.34,54.22,19.74,18.37,17.94,18.21,12.03,24.17,16.32,14.31,3.12,70.31,67.82,80.88,74.89,54.16,61.73,5.517452896,2.51,6.884486652,14.24,20.59,30.64,37.7,1.16,1.68,2.5,3.08,86.3,3.08,5.56,4.07,2.67,2.62,2.73,55.37,7.42,49.8,3,5.225746674,95.98,56.37,1.08,21.08,1972,3.3,0.11,83000,108900,145000,315,395,497,472,28.7,21.4,12.4,2.48490665,0,8.16,62.95,39.82,76.72,94.06,1.648658626,2853.3,0,0,346.97
CA,1,10.05633739,4.17,7.95,82.42,1.36,19.55,14.06,30.74,14.58,4.44,10.05633739,100,51594,88.74,2.55,38.24,17.3,5.92,12.75,52659,15142,16771,4590,8.717518373,9.460632055,9406,9872,6.881411304,5.34,4.93,24.25,10.32,5.1,48.14,21.21,14.52,14.49,23.72,8.43,42.59,12.03,9.94,3.49,82.9,75.36,88.3,80.68,48.57,57.79,6.285998095,3.46,7.422373701,6.76,16.87,18.66,33.19,0.48,1.21,1.34,2.38,84.6,2.25,10.56,8.94,3.27,3.29,3.19,82.83,6.06,22.51,3,5.267858159,96.66,82.4,3.63,26.42,1970,2.5,0.24,153000,203400,259300,458,617,843,714,28.2,25.1,11.9,0,0,7.18,58.08,45.88,59.47,94.53,2.721295428,1641.4,0.2390169,0,609.81
CA,1,10.17229257,2.37,0.94,91.3,6.07,6.46,9.03,19.36,8.48,14.25,10.17229257,100,54658,77.85,0.52,62.49,25.65,2.52,18.84,63337,28161,28647,27282,9.918179101,10.06121753,17992,20889,6.570882962,2.73,2.43,8.38,35.77,2.43,69.33,16.34,23.36,6.28,39.23,9.48,24.71,12.87,11.26,2.82,82.5,81.21,91.83,77.66,62.67,71,4.521788577,0.58,8.096817471,6.37,10.63,17.42,25.43,0.8,1.33,2.19,3.19,84,1.64,2.14,1.48,2.36,2.48,2.06,75.92,1.98,44.78,3,5.686975356,97.41,72.37,0.68,21.09,1957,0.56,0,328100,407500,500001,611,744,972,810,26.6,27.7,11.9,0,0,12.55,55.31,58.4,82.21,92.84,1.916922612,4486.8,1.605429891,0,205.56
CA,1,10.05065678,2.09,0.7,95.77,1.74,6.86,8.08,20.23,9.15,12.36,10.05065678,100,53419,75.85,1.49,57.16,19.88,2.75,13.14,70219,40537,40887,28939,10.02300242,10.78756496,20261,15271,7.252762418,6.14,2.39,5.87,49.02,1.84,72.93,10.39,29.52,3.13,48.8,14.7,37.11,19.21,16.9,2.65,76.69,74.71,93.62,80.52,68.23,70.85,3.713572067,0.3,7.858640656,17.67,20.76,26.83,31.89,1.97,2.32,3,3.56,88.52,2.03,2.54,1.37,2.08,2.23,1.84,64.34,2.34,59.3,2,7.473069088,86.31,59.78,0.57,15.52,1960,0.39,0.44,343900,471300,500001,652,859,1001,879,27.9,25.4,11.8,1.945910149,3.931825633,11.17,41.06,44.53,76.43,88.97,2.302585093,2575.6,1.088561953,0,794.41
CA,1,10.3726158,2.2,1.7,91.28,5.46,5.4,11.38,22.12,10.53,17.88,10.3726158,100,54348,73,0.56,55.83,28,3.47,9.02,83272,55463,57381,30294,9.497547332,10.59132064,27395,28719,7.652545693,6.6,3.6,10.57,46.95,3.8,60.76,8.37,28.42,1.37,51.85,8.33,32.58,15.23,12.23,2.87,75.73,77.69,90.56,81.23,49.3,55.66,5.411646052,1.04,9.317758769,13.57,22.29,31.93,41.76,4.73,7.76,11.12,14.54,64.34,4.86,4.05,2.25,2.19,2.71,1.78,54.32,3.27,61.04,2,7.056175284,92.63,43.85,1.38,31.23,1949,0.4,0.2,500001,500001,500001,660,902,1001,925,29.5,24,12.9,0,1.791759469,34.82,26.78,52.74,82.67,85.41,1.931521412,5437.2,1.669591835,4.76,1087.25
