Time for Run,Manager,Run Size
252,a,204
215,a,103
238,a,143
261,a,210
297,a,334
236,a,102
282,a,261
264,a,118
254,a,198
223,a,87
228,a,75
254,a,167
219,a,133
261,a,160
281,a,345
304,a,211
296,a,280
298,a,244
302,a,280
296,a,284
229,b,297
208,b,96
188,b,238
191,b,144
209,b,154
228,b,325
224,b,206
214,b,170
236,b,232
205,b,286
226,b,329
216,b,311
230,b,310
237,b,252
238,b,278
212,b,225
216,b,167
203,b,157
195,b,110
252,b,298
195,c,175
215,c,189
243,c,344
162,c,88
185,c,114
231,c,338
234,c,271
166,c,173
253,c,284
196,c,277
220,c,337
168,c,58
207,c,146
225,c,277
169,c,123
215,c,227
147,c,63
230,c,337
208,c,146
172,c,68
,,0
