Quote,Time to Delivery,Part Type,Status
3452,6,OE,Won
429,9,AM,Won
102,14,OE,Won
1153,16,OE,Lost
102,11,OE,Won
2313,46,AM,Lost
2681,63,OE,Lost
5486,35,AM,Won
845,16,OE,Lost
1115,40,AM,Won
2088,30,AM,Won
628,26,AM,Won
2213,61,AM,Lost
2847,90,AM,Lost
4190,61,AM,Lost
106,161,AM,Lost
608,88,AM,Lost
4176,31,OE,Lost
783,7,AM,Lost
1862,94,AM,Lost
5912,17,OE,Lost
470,26,OE,Lost
752,36,AM,Lost
1335,23,OE,Lost
1198,31,AM,Lost
1915,3,AM,Won
1616,32,AM,Won
1394,2,AM,Lost
2148,22,AM,Lost
354,24,AM,Lost
557,32,AM,Lost
4007,45,AM,Lost
323,72,OE,Lost
16185,18,AM,Won
1607,13,OE,Lost
2353,5,AM,Lost
91,6,AM,Won
970,5,AM,Won
2290,9,OE,Lost
855,28,AM,Lost
5689,14,AM,Lost
131,0,AM,Won
1833,62,OE,Won
1215,22,AM,Won
4840,11,AM,Lost
6520,13,AM,Won
4591,50,AM,Lost
514,9,AM,Lost
5417,107,OE,Won
1054,1,AM,Won
2275,7,AM,Lost
1447,2,AM,Won
832,28,OE,Lost
6939,32,AM,Won
307,32,AM,Lost
5138,52,AM,Won
6410,31,AM,Won
2488,31,AM,Won
1471,2,AM,Lost
507,28,AM,Won
2620,69,AM,Lost
2020,18,AM,Won
281,32,OE,Lost
319,49,AM,Won
1979,81,AM,Lost
3981,37,AM,Lost
1933,11,AM,Lost
4327,10,AM,Won
2865,63,AM,Lost
1602,68,AM,Lost
578,87,AM,Lost
2089,29,AM,Lost
1358,9,AM,Lost
1443,3,OE,Lost
5333,9,AM,Lost
999,166,OE,Lost
2775,65,AM,Won
2646,74,OE,Won
2047,29,AM,Lost
2128,30,AM,Lost
3447,5,OE,Won
380,73,AM,Lost
489,43,OE,Lost
6933,3,OE,Lost
740,15,OE,Lost
941,38,AM,Won
2815,9,AM,Won
378,24,AM,Won
3687,51,OE,Lost
793,52,AM,Lost
932,17,AM,Lost
2187,7,AM,Won
5470,5,AM,Lost
1525,36,AM,Lost
3235,36,AM,Won
5108,14,OE,Lost
5555,85,OE,Lost
865,5,AM,Lost
1753,90,AM,Won
4526,19,AM,Won
157,40,AM,Lost
2062,38,OE,Won
5373,81,AM,Won
1874,10,AM,Won
11290,12,AM,Lost
64,42,AM,Lost
939,47,AM,Won
3718,37,AM,Won
5999,45,AM,Lost
1896,33,OE,Lost
5449,5,AM,Won
457,17,AM,Won
11665,44,AM,Won
3941,36,OE,Lost
1468,21,AM,Lost
5015,7,AM,Won
2039,36,AM,Lost
5403,1,AM,Won
2753,28,OE,Won
1953,28,OE,Won
6315,2,OE,Lost
385,26,OE,Won
2101,18,AM,Won
8039,37,AM,Lost
873,9,AM,Lost
590,1,AM,Won
2630,28,OE,Won
3081,35,AM,Won
1645,23,OE,Won
1344,40,OE,Lost
4206,10,AM,Won
1478,5,AM,Won
2623,18,OE,Won
4823,26,AM,Lost
362,50,AM,Won
3751,11,AM,Lost
319,21,OE,Won
1670,24,OE,Won
2236,115,AM,Lost
2655,26,OE,Won
7392,12,OE,Won
1179,26,AM,Won
1597,90,AM,Lost
5427,11,AM,Lost
423,36,AM,Won
10443,59,AM,Won
1183,76,AM,Won
1818,24,AM,Won
2714,15,AM,Lost
337,48,AM,Won
2010,183,AM,Lost
121,10,AM,Won
4933,17,AM,Won
1134,6,AM,Won
195,18,AM,Won
738,11,AM,Won
516,74,AM,Won
3228,19,OE,Lost
2709,135,OE,Lost
2372,58,AM,Won
1835,40,OE,Lost
253,16,AM,Won
5741,11,OE,Lost
2492,40,OE,Lost
5347,30,OE,Lost
1428,4,OE,Won
4516,20,AM,Won
1256,26,AM,Lost
208,24,AM,Won
2793,14,AM,Won
313,44,AM,Lost
178,4,AM,Lost
15,8,AM,Won
3991,29,AM,Lost
3714,11,AM,Won
4505,16,AM,Lost
10527,1,AM,Lost
145,3,OE,Lost
2262,124,AM,Won
1866,38,AM,Lost
2244,55,AM,Lost
54,30,AM,Lost
1343,2,AM,Won
976,17,OE,Lost
18278,76,AM,Lost
1721,40,AM,Lost
7024,11,AM,Lost
8156,47,AM,Won
687,14,AM,Lost
1215,7,AM,Lost
595,30,AM,Lost
2666,60,AM,Lost
17351,3,AM,Won
2580,18,AM,Won
161,8,AM,Won
5633,2,OE,Won
5941,3,AM,Won
3469,29,AM,Won
1505,12,OE,Won
3192,4,AM,Lost
1006,88,AM,Lost
2937,10,AM,Won
4190,15,AM,Won
1498,13,OE,Won
1153,122,AM,Lost
4049,12,OE,Won
1415,138,AM,Lost
619,6,AM,Won
341,12,AM,Lost
2780,104,AM,Won
4268,78,OE,Lost
2885,74,AM,Lost
1095,4,AM,Won
2834,10,AM,Lost
2003,45,AM,Lost
229,59,OE,Lost
3798,15,AM,Won
258,55,AM,Won
2148,19,AM,Won
331,22,AM,Lost
660,73,OE,Won
2337,32,AM,Won
13817,52,AM,Won
601,12,AM,Won
387,38,AM,Lost
992,29,AM,Won
341,14,AM,Won
2025,12,AM,Lost
6684,6,AM,Won
752,17,OE,Won
6301,33,OE,Lost
498,11,AM,Won
4694,0,AM,Won
2104,71,AM,Lost
2222,0,AM,Won
222,20,AM,Won
348,34,OE,Won
508,45,AM,Lost
1997,28,AM,Won
953,4,OE,Lost
2333,1,OE,Won
603,82,OE,Won
3659,12,AM,Won
1747,19,OE,Lost
92,85,AM,Lost
1293,73,AM,Lost
4070,9,AM,Won
9190,1,OE,Won
1605,8,AM,Won
816,43,OE,Lost
986,4,OE,Won
612,69,AM,Won
2095,40,AM,Lost
11080,35,AM,Lost
858,6,AM,Lost
7066,6,AM,Won
2347,17,AM,Lost
1047,47,AM,Lost
3947,26,AM,Won
2886,7,AM,Won
6477,126,OE,Lost
682,7,AM,Lost
82,9,AM,Won
2309,31,AM,Lost
44,34,AM,Lost
7209,32,AM,Lost
104,7,AM,Won
253,27,OE,Lost
3160,11,AM,Lost
695,51,AM,Won
9788,45,OE,Lost
260,7,OE,Won
1137,4,AM,Lost
2771,40,AM,Lost
750,51,AM,Lost
3667,5,OE,Won
696,79,AM,Lost
2275,17,AM,Won
552,15,OE,Won
2876,31,OE,Lost
8521,47,OE,Won
51,11,AM,Won
1115,72,AM,Lost
6305,20,AM,Lost
232,26,AM,Won
478,56,OE,Won
5251,12,AM,Won
751,4,AM,Won
1157,96,AM,Lost
3686,50,AM,Lost
3441,1,AM,Lost
22,20,OE,Won
260,4,OE,Lost
3863,50,AM,Lost
2580,22,OE,Lost
9699,28,OE,Won
147,37,OE,Lost
1034,3,OE,Lost
582,39,AM,Won
691,63,AM,Won
1115,38,AM,Won
4935,39,AM,Lost
2505,16,AM,Lost
7186,83,OE,Lost
2534,9,AM,Won
5306,13,AM,Lost
2176,2,OE,Lost
10037,78,AM,Won
930,9,OE,Lost
1963,15,AM,Won
1405,63,AM,Lost
2596,43,OE,Lost
2330,44,AM,Won
7163,40,AM,Won
2338,158,AM,Lost
1185,89,AM,Lost
1250,31,AM,Won
