individual,baseDate,branchID_16,branchID_26,branchID_222,ct,productID,r_info1_11,r_info1_113_276,r_info1_111_126,r_info3_1,r_info3_23,r_info3_4567,common_info1_0,mode,noStock,noDisplay,noSold
1,2005/1/12,1,0,0,329,213,0,0,1,0,1,0,0,0,1,0,0
1,2005/1/12,1,0,0,329,290,0,0,1,0,0,1,0,0,0,0,0
1,2005/1/12,1,0,0,329,6204,0,0,0,0,0,1,0,0,1,1,0
1,2005/1/12,1,0,0,329,6605,0,0,0,0,1,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,6713,0,0,1,0,0,1,0,0,2,0,0
1,2005/1/12,1,0,0,329,70565,1,0,0,0,1,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,70567,1,0,0,0,1,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,70620,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,70624,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,70626,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,70643,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,70645,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,70647,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,73053,0,0,0,0,0,1,0,0,1,0,0
1,2005/1/12,1,0,0,329,73798,0,0,1,0,0,1,0,0,1,0,0
1,2005/1/12,1,0,0,329,74020,0,1,0,1,0,0,1,0,2,0,0
1,2005/1/12,1,0,0,329,74021,0,1,0,1,0,0,1,1,1,0,1
1,2005/1/12,1,0,0,329,74022,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,74023,0,1,0,1,0,0,1,0,2,0,0
1,2005/1/12,1,0,0,329,74024,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,74026,0,1,0,1,0,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,74028,0,1,0,1,0,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,74029,0,1,0,1,0,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,74430,1,0,0,0,1,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,74493,1,0,0,0,1,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,74495,1,0,0,0,1,0,1,0,2,0,0
1,2005/1/12,1,0,0,329,74497,1,0,0,0,1,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,75393,0,0,1,0,0,1,0,0,1,0,0
1,2005/1/12,1,0,0,329,75601,0,0,0,0,1,0,1,0,1,0,0
1,2005/1/12,1,0,0,329,76531,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,76538,0,1,0,1,0,0,1,0,0,0,0
1,2005/1/12,1,0,0,329,77980,0,0,0,0,1,0,0,0,1,0,0
