,County,HospitalID,MedicareFr,RPR,RER,ERR,penalty,penalty_cap,effectiveness,incentivized
0,Alameda,50002,0.385419786,24.12612724,22.50570107,1.072000697,1,0,0,0
1,Humboldt,50006,0.463131309,16.19304466,19.0582695,0.849659758,0,0,0,0
2,San Mateo,50007,0.302268535,20.86240959,20.75056648,1.005389882,1,1,-0.052999954,1
3,Napa,50009,0.430666357,20.50732994,22.00700188,0.931854782,0,0,0,0
4,Napa,50013,0.487893879,20.13936424,21.88141823,0.920386605,0,0,0,0
5,San Luis Obispo,50016,0.446989,19.72312164,19.85144424,0.993535856,0,0,0,0
6,Sacramento,50017,0.314864933,19.06973076,19.54397774,0.975734368,0,0,0,0
7,Los Angeles,50018,0.302416861,24.0746479,24.11408424,0.998364593,0,0,0,0
8,Riverside,50022,0.272430152,21.80994606,22.24014282,0.980656745,0,0,0,0
9,San Diego,50024,0.498078972,24.79219055,24.78895187,1.00013065,1,1,-0.127209643,1
10,San Diego,50025,0.269369006,21.80242348,21.34553528,1.021404392,1,1,0.002941324,1
11,San Diego,50026,0.318517298,22.31032562,21.22644997,1.051062502,1,0,0,0
12,Butte,50030,0.465451062,25.16347885,22.42000008,1.122367474,1,0,0,0
13,Kern,50036,0.271959424,24.18901443,22.35692787,1.081947152,1,0,0,0
14,Santa Clara,50038,0.158172712,19.35380363,20.51304436,0.943487631,0,0,0,0
15,Butte,50039,0.508084655,20.35890198,19.88334465,1.023917371,1,1,-0.204913673,1
16,Tehama,50042,0.402002603,18.73262405,20.10590935,0.931697429,0,0,0,0
17,Alameda,50043,0.406942248,21.75707054,21.04395294,1.033887055,1,0,0,0
18,Imperial,50045,0.395451248,20.01159477,20.66972542,0.968159681,0,0,0,0
19,San Francisco,50047,0.290584177,21.28008842,20.60825157,1.032600381,1,0,0,0
20,Riverside,50054,0.271050125,20.46834373,20.56745529,0.995181146,0,0,0,0
21,Los Angeles,50056,0.252544492,22.64663124,21.78941154,1.039341113,1,0,0,0
22,Tulare,50057,0.421160877,19.2850647,20.46676064,0.942262678,0,0,0,0
23,Los Angeles,50058,0.416516513,24.03595161,22.8064785,1.053908941,1,0,0,0
24,Fresno,50060,0.249826267,24.49148941,21.50851059,1.138688302,1,0,0,0
25,Los Angeles,50063,0.341819972,24.99070358,23.76457214,1.05159493,1,0,0,0
26,Orange,50069,0.292636663,19.59557915,21.81138039,0.898410775,0,0,0,0
27,San Diego,50077,0.29593572,21.82819557,21.82305717,1.000235457,1,1,-0.022171921,1
28,Contra Costa,50079,0.399196953,21.78268433,22.15324783,0.983272724,0,0,0,0
29,Ventura,50082,0.406233639,22.62368965,22.4670887,1.006970238,1,1,-0.111135405,1
30,San Joaquin,50084,0.422020942,20.66041756,20.87979698,0.989493221,0,0,0,0
