Article_ID,Title,Author,Ticker,Date,Year,Content,TY,TD
180553,This is only a sample title.,Apple Investor,AAPL,2010-01-01,2010,This is only a sample content.,1,
180790,This is only a sample title.,Larry Dignan,AAPL,2010-01-04,2010,This is only a sample content.,1,1.0
180876,This is only a sample title.,Stockerblog,AAPL,2010-01-05,2010,This is only a sample content.,1,6.0
180949,This is only a sample title.,TechCrunch,AAPL,2010-01-05,2010,This is only a sample content.,1,6.0
180971,This is only a sample title.,Zacks Investment Research,AAPL,2010-01-05,2010,This is only a sample content.,1,6.0
181548,This is only a sample title.,eChristian Investing,IBM,2010-01-08,2010,This is only a sample content.,3,23.0
181870,This is only a sample title.,Shelly Palmer,AMZN,2010-01-11,2010,This is only a sample content.,2,27.0
181897,This is only a sample title.,Fred Wilson,AAPL,2010-01-11,2010,This is only a sample content.,1,26.0
181974,This is only a sample title.,Felix Salmon,AAPL,2010-01-11,2010,This is only a sample content.,1,26.0
182281,This is only a sample title.,Jason Schwarz,AAPL,2010-01-13,2010,This is only a sample content.,1,36.0
182306,This is only a sample title.,TechCrunch,MSFT,2010-01-13,2010,This is only a sample content.,5,40.0
182346,This is only a sample title.,Stefan Sidahmed,AAPL,2010-01-13,2010,This is only a sample content.,1,36.0
182533,This is only a sample title.,Scot Wingo,AMZN,2010-01-14,2010,This is only a sample content.,2,42.0
182753,This is only a sample title.,TechCrunch,AMZN,2010-01-15,2010,This is only a sample content.,2,47.0
182884,This is only a sample title.,Neil Carvin,AAPL,2010-01-17,2010,This is only a sample content.,1,
182909,This is only a sample title.,Trefis,AAPL,2010-01-17,2010,This is only a sample content.,1,
182960,This is only a sample title.,This is the Green Room,AAPL,2010-01-18,2010,This is only a sample content.,1,
183030,This is only a sample title.,Greentech Media,AAPL,2010-01-18,2010,This is only a sample content.,1,
183052,This is only a sample title.,TechCrunch,IBM,2010-01-18,2010,This is only a sample content.,3,
183094,This is only a sample title.,Jett Winter,IBM,2010-01-19,2010,This is only a sample content.,3,53.0
