TD,Ticker,Date,Close_Price,Volume,Year,TY
1,AAPL,2010-01-04,6.593425751,493729600,2010,1
6,AAPL,2010-01-05,6.60482502,601904800,2010,1
11,AAPL,2010-01-06,6.49976778,552160000,2010,1
16,AAPL,2010-01-07,6.487752438,477131200,2010,1
21,AAPL,2010-01-08,6.530883312,447610800,2010,1
26,AAPL,2010-01-11,6.473270893,462229600,2010,1
31,AAPL,2010-01-12,6.399638653,594459600,2010,1
36,AAPL,2010-01-13,6.489906788,605892000,2010,1
41,AAPL,2010-01-14,6.452320099,432894000,2010,1
46,AAPL,2010-01-15,6.344489574,594067600,2010,1
51,AAPL,2010-01-19,6.625159264,730007600,2010,1
56,AAPL,2010-01-20,6.523180962,612152800,2010,1
61,AAPL,2010-01-21,6.410421371,608154400,2010,1
66,AAPL,2010-01-22,6.092471123,881767600,2010,1
71,AAPL,2010-01-25,6.256376743,1065699600,2010,1
76,AAPL,2010-01-26,6.344798565,1867110000,2010,1
81,AAPL,2010-01-27,6.404567242,1722568400,2010,1
86,AAPL,2010-01-28,6.13991785,1173502400,2010,1
91,AAPL,2010-01-29,5.917169571,1245952400,2010,1
96,AAPL,2010-02-01,5.999429703,749876400,2010,1
101,AAPL,2010-02-02,6.034243107,698342400,2010,1
106,AAPL,2010-02-03,6.138070107,615328000,2010,1
111,AAPL,2010-02-04,5.91686058,757652000,2010,1
116,AAPL,2010-02-05,6.021920204,850306800,2010,1
121,AAPL,2010-02-08,5.980636597,478270800,2010,1
126,AAPL,2010-02-09,6.044411659,632886800,2010,1
131,AAPL,2010-02-10,6.011444092,370361600,2010,1
136,AAPL,2010-02-11,6.120816231,550345600,2010,1
141,AAPL,2010-02-12,6.173499584,655468800,2010,1
146,AAPL,2010-02-16,6.266543865,543737600,2010,1
151,AAPL,2010-02-17,6.240356445,436396800,2010,1
156,AAPL,2010-02-18,6.252061844,422825200,2010,1
161,AAPL,2010-02-19,6.213243484,415469600,2010,1
166,AAPL,2010-02-22,6.174731731,390563600,2010,1
171,AAPL,2010-02-23,6.071214199,575094800,2010,1
176,AAPL,2010-02-24,6.182126999,460566400,2010,1
181,AAPL,2010-02-25,6.22341013,665126000,2010,1
186,AAPL,2010-02-26,6.304130554,507460800,2010,1
191,AAPL,2010-03-01,6.438766003,550093600,2010,1
196,AAPL,2010-03-02,6.434452534,566546400,2010,1
201,AAPL,2010-03-03,6.449239731,372052800,2010,1
206,AAPL,2010-03-04,6.491754532,366041200,2010,1
211,AAPL,2010-03-05,6.745622158,899620400,2010,1
216,AAPL,2010-03-08,6.749625683,429889600,2010,1
221,AAPL,2010-03-09,6.871013641,920259200,2010,1
226,AAPL,2010-03-10,6.927087307,596218000,2010,1
231,AAPL,2010-03-11,6.947421551,405700400,2010,1
236,AAPL,2010-03-12,6.981310844,416323600,2010,1
241,AAPL,2010-03-15,6.896276474,493502800,2010,1
246,AAPL,2010-03-16,6.915071487,446908000,2010,1
251,AAPL,2010-03-17,6.904904366,450956800,2010,1
256,AAPL,2010-03-18,6.921233654,342109600,2010,1
261,AAPL,2010-03-19,6.847290516,559445600,2010,1
266,AAPL,2010-03-22,6.924314499,456419600,2010,1
271,AAPL,2010-03-23,7.035534382,602431200,2010,1
276,AAPL,2010-03-24,7.066651821,597780400,2010,1
281,AAPL,2010-03-25,6.982851505,542284400,2010,1
286,AAPL,2010-03-26,7.113790512,640875200,2010,1
291,AAPL,2010-03-29,7.159695148,540744400,2010,1
296,AAPL,2010-03-30,7.266295433,527310000,2010,1
301,AAPL,2010-03-31,7.240106106,430659600,2010,1
306,AAPL,2010-04-01,7.269990444,603145200,2010,1
311,AAPL,2010-04-05,7.34762764,684507600,2010,1
316,AAPL,2010-04-06,7.37997818,447017200,2010,1
321,AAPL,2010-04-07,7.412639141,628502000,2010,1
326,AAPL,2010-04-08,7.392611027,572989200,2010,1
331,AAPL,2010-04-09,7.449298859,334182800,2010,1
336,AAPL,2010-04-12,7.464703083,333026400,2010,1
341,AAPL,2010-04-13,7.469016552,306210800,2010,1
346,AAPL,2010-04-14,7.569452763,404076400,2010,1
351,AAPL,2010-04-15,7.668969154,376784800,2010,1
356,AAPL,2010-04-16,7.622136116,750545600,2010,1
361,AAPL,2010-04-19,7.611969948,566924400,2010,1
366,AAPL,2010-04-20,7.535561562,738326400,2010,1
371,AAPL,2010-04-21,7.9862957,982391200,2010,1
376,AAPL,2010-04-22,8.209663391,793424800,2010,1
381,AAPL,2010-04-23,8.34399128,796955600,2010,1
386,AAPL,2010-04-26,8.303016663,479068800,2010,1
391,AAPL,2010-04-27,8.073181152,709343600,2010,1
396,AAPL,2010-04-28,8.059620857,758402400,2010,1
401,AAPL,2010-04-29,8.276516914,558840800,2010,1
406,AAPL,2010-04-30,8.043911934,542463600,2010,1
411,AAPL,2010-05-03,8.205967903,454342000,2010,1
416,AAPL,2010-05-04,7.969661236,723819600,2010,1
421,AAPL,2010-05-05,7.886785984,883103200,2010,1
426,AAPL,2010-05-06,7.586706638,1285860800,2010,1
431,AAPL,2010-05-07,7.266602039,1676018400,2010,1
436,AAPL,2010-05-10,7.825166702,984306400,2010,1
