,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,year_renovated,zip_code,lattitude,longitude,nn_sqft_living,nn_sqft_lot
1,5.346157302,3,1,1180,5650,1,0,0,average,1180,0,1955,1955,98178,47.5112,-122.257,1340,5650
2,5.730782276,3,2.25,2570,7242,2,0,0,average,2170,400,1951,1991,98125,47.721,-122.319,1690,7639
3,5.255272505,2,1,770,10000,1,0,0,average,770,0,1933,1933,98028,47.7379,-122.233,2720,8062
4,5.781036939,4,3,1960,5000,1,0,0,very_good,1050,910,1965,1965,98136,47.5208,-122.393,1360,5000
5,5.707570176,3,2,1680,8080,1,0,0,average,1680,0,1987,1987,98074,47.6168,-122.045,1800,7503
6,6.088136089,4,4.5,5420,101930,1,0,0,average,3890,1530,2001,2001,98053,47.6561,-122.005,4760,101930
7,5.410777233,3,2.25,1715,6819,2,0,0,average,1715,0,1995,1995,98003,47.3097,-122.327,2238,6819
8,5.465159698,3,1.5,1060,9711,1,0,0,average,1060,0,1963,1963,98198,47.4095,-122.315,1650,9711
9,5.36078269,3,1,1780,7470,1,0,0,average,1050,730,1960,1960,98146,47.5123,-122.337,1780,8113
10,5.509202522,3,2.5,1890,6560,2,0,0,average,1890,0,2003,2003,98038,47.3684,-122.031,2390,7570
11,5.821185883,3,2.5,3560,9796,1,0,0,average,1860,1700,1965,1965,98007,47.6007,-122.145,2210,8925
12,5.670245853,2,1,1160,6000,1,0,0,good,860,300,1942,1942,98115,47.69,-122.292,1330,6000
13,5.491361694,3,1,1430,19901,1.5,0,0,good,1430,0,1927,1927,98028,47.7558,-122.229,1780,12697
14,5.602059991,3,1.75,1370,9680,1,0,0,good,1370,0,1977,1977,98074,47.6127,-122.045,1370,10208
15,5.72427587,5,2,1810,4850,1.5,0,0,average,1810,0,1900,1900,98107,47.67,-122.394,1360,4850
16,5.812913357,4,3,2950,5000,2,0,3,average,1980,970,1979,1979,98126,47.5714,-122.375,2140,4000
17,5.596597096,3,2,1890,14040,2,0,0,average,1890,0,1994,1994,98019,47.7277,-121.962,1890,14018
18,5.685741739,4,1,1600,4300,1.5,0,0,good,1600,0,1916,1916,98103,47.6648,-122.343,1610,4300
19,5.276461804,2,1,1200,9850,1,0,0,good,1200,0,1921,1921,98002,47.3089,-122.21,1060,5095
